Baldwin (D-WI), Yea
Barrasso (R-WY), Nay
Bennet (D-CO), Yea
Blackburn (R-TN), Nay
Blumenthal (D-CT), Yea
Blunt (R-MO), Nay
Booker (D-NJ), Yea
Boozman (R-AR), Nay
Braun (R-IN), Nay
Brown (D-OH), Yea
Burr (R-NC), Nay
Cantwell (D-WA), Yea
Capito (R-WV), Nay
Cardin (D-MD), Yea
Carper (D-DE), Yea
Casey (D-PA), Yea
Cassidy (R-LA), Nay
Collins (R-ME), Yea
Coons (D-DE), Yea
Cornyn (R-TX), Nay
Cortez Masto (D-NV), Yea
Cotton (R-AR), Nay
Cramer (R-ND), Nay
Crapo (R-ID), Nay
Cruz (R-TX), Nay
Daines (R-MT), Nay
Duckworth (D-IL), Yea
Durbin (D-IL), Yea
Ernst (R-IA), Nay
Feinstein (D-CA), Yea
Fischer (R-NE), Nay
Gillibrand (D-NY), Yea
Graham (R-SC), Yea
Grassley (R-IA), Nay
Hagerty (R-TN), Nay
Hassan (D-NH), Yea
Hawley (R-MO), Nay
Heinrich (D-NM), Yea
Hickenlooper (D-CO), Yea
Hirono (D-HI), Yea
Hoeven (R-ND), Nay
Hyde-Smith (R-MS), Nay
Inhofe (R-OK), Nay
Johnson (R-WI), Nay
Kaine (D-VA), Yea
Kelly (D-AZ), Yea
Kennedy (R-LA), Nay
King (I-ME), Yea
Klobuchar (D-MN), Yea
Lankford (R-OK), Nay
Leahy (D-VT), Yea
Lee (R-UT), Nay
Lujan (D-NM), Yea
Lummis (R-WY), Nay
Manchin (D-WV), Yea
Markey (D-MA), Yea
Marshall (R-KS), Nay
McConnell (R-KY), Nay
Menendez (D-NJ), Yea
Merkley (D-OR), Yea
Moran (R-KS), Nay
Murkowski (R-AK), Nay
Murphy (D-CT), Yea
Murray (D-WA), Yea
Ossoff (D-GA), Yea
Padilla (D-CA), Yea
Paul (R-KY), Nay
Peters (D-MI), Yea
Portman (R-OH), Yea
Reed (D-RI), Yea
Risch (R-ID), Nay
Romney (R-UT), Nay
Rosen (D-NV), Yea
Rounds (R-SD), Not Voting
Rubio (R-FL), Nay
Sanders (I-VT), Yea
Sasse (R-NE), Nay
Schatz (D-HI), Yea
Schumer (D-NY), Yea
Scott (R-FL), Nay
Scott (R-SC), Nay
Shaheen (D-NH), Yea
Shelby (R-AL), Nay
Sinema (D-AZ), Yea
Smith (D-MN), Yea
Stabenow (D-MI), Yea
Sullivan (R-AK), Nay
Tester (D-MT), Yea
Thune (R-SD), Nay
Tillis (R-NC), Not Voting
Toomey (R-PA), Nay
Tuberville (R-AL), Nay
Van Hollen (D-MD), Yea
Warner (D-VA), Yea
Warnock (D-GA), Yea
Warren (D-MA), Yea
Whitehouse (D-RI), Yea
Wicker (R-MS), Nay
Wyden (D-OR), Yea
Young (R-IN), Nay
